Month,Day,1980's Average,1990's Average,2000's Average,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
01,01,13838002,13479932,12884425,-9999,13142332,13009467,12573869,12642784,12629637,12637938,12555408,12548660,12278751,12746295,12362561,12420072,12504555
01,02,13894654,13507159,12933153,-9999,13213231,13030016,12624615,12689716,12669943,12630839,12610057,12572785,12350377,12786647,12327112,12505424,12469040
01,03,13956651,13548447,12979517,-9999,13297755,13071916,12697433,12773901,12745512,12656911,12686802,12608343,12410650,12787376,12377539,12544012,12491973
01,04,14025305,13591262,13025972,-9999,13394164,13123645,12825798,12830318,12799596,12737679,12770635,12661599,12469886,12752679,12428738,12519283,12511398
01,05,14083638,13641693,13073337,-9999,13493198,13172405,12872165,12855238,12830948,12781769,12794572,12693917,12564657,12761430,12487178,12529679,12583928
01,06,14126244,13689257,13116894,-9999,13571020,13152013,12887212,12815784,12844393,12852098,12850810,12766882,12606948,12834052,12582524,12545921,12617633
01,07,14165180,13722489,13166041,-9999,13621914,13135591,12876476,12793118,12876798,12899238,12933309,12837291,12595426,12897220,12664391,12562469,12582720
01,08,14211925,13763992,13206788,-9999,13634360,13158498,12881031,12808337,12886280,12934452,13028372,12866721,12566744,13010014,12683362,12582981,12572767
01,09,14248750,13807015,13254035,-9999,13607670,13230091,12919327,12873821,12836925,12972214,13128277,12916283,12596125,13120429,12704685,12637354,12585887
01,10,14275316,13851768,13289116,-9999,13605515,13282635,12957583,12914174,12757050,13006345,13189273,12983826,12569551,13177771,12822218,12746905,12614229
01,11,14289704,13897130,13323718,-9999,13663599,13359311,12989292,12905224,12725785,13080988,13242631,13055023,12609635,13234453,12889845,12847766,12691710
01,12,14321332,13939465,13357576,-9999,13738147,13426926,12991851,12914327,12779363,13107448,13251227,13108972,12688277,13316476,12960039,12897282,12797534
01,13,14389859,13984146,13391870,-9999,13766935,13491578,13015855,12948756,12871354,13156393,13324677,13150730,12744938,13278795,13003476,12927003,12896657
01,14,14446923,14022152,13446337,-9999,13831765,13517986,13035372,12970668,12961708,13231528,13429347,13226639,12849921,13255298,13057235,12939224,12977552
01,15,14481697,14054389,13493118,-9999,13892192,13483290,13078301,12943895,13050900,13270654,13519773,13272669,12919156,13208256,13140084,12982086,13054778
01,16,14517793,14086178,13538353,-9999,13947914,13502393,13161695,12892108,13125919,13293834,13598264,13272034,12963808,13123560,13247598,13059648,13139419
01,17,14561142,14127684,13586512,-9999,14012307,13538101,13214382,12850606,13210005,13330134,13605824,13264670,12947972,13087285,13314884,13102299,13158985
01,18,14604837,14176870,13626683,-9999,14089471,13584649,13226354,12813728,13272152,13364474,13647454,13304485,12941642,13095543,13298441,13159881,13210842
01,19,14655020,14211380,13662810,-9999,14167368,13637114,13213065,12798275,13351745,13388002,13741111,13336339,12978268,13124999,13324370,13218010,13235356
01,20,14694661,14246930,13699875,-9999,14228061,13669905,13232993,12779137,13396215,13395581,13709146,13356040,12992283,13177285,13344986,13262167,13223023
